0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:34 +0800] "GET /OnlineChatting/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:36 +0800] "GET /OnlineChatting/exit.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:36 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:41 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 200 10530
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:41 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 5099
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:44 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 200 11060
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:44 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 5559
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:32:15 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 500 2904
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:32:26 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 500 2904
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:32:41 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 500 2904
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:32:45 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 500 2904
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:32:50 +0800] "GET /OnlineChatting/exit.jsp HTTP/1.1" 500 2376
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:33:03 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:33:09 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:33:09 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:33:11 +0800] "GET /OnlineChatting/exit.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:33:11 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:33:15 +0800] "GET /OnlineChatting/exit.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:33:15 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:33:19 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:33:19 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:34:55 +0800] "GET /OnlineChatting/chatPage.jsp HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:34:55 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:10 +0800] "GET /OnlineChatting/chatPage.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:15 +0800] "GET /OnlineChatting/chatPage.jsp HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:15 +0800] "GET /OnlineChatting/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:15 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:18 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:18 +0800] "GET /OnlineChatting/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:18 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:36 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 7342
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:36 +0800] "GET /OnlineChatting/img/emotion_smile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:36 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:59 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:59 +0800] "GET /OnlineChatting/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:59 +0800] "GET /OnlineChatting/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:59 +0800] "GET /OnlineChatting/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:59 +0800] "GET /OnlineChatting/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:35:59 +0800] "GET /OnlineChatting/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:36:00 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:36:00 +0800] "GET /OnlineChatting/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:36:00 +0800] "GET /OnlineChatting/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:36:00 +0800] "GET /OnlineChatting/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:36:00 +0800] "GET /OnlineChatting/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:36:00 +0800] "GET /OnlineChatting/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:36:01 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:36:01 +0800] "GET /OnlineChatting/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:36:01 +0800] "GET /OnlineChatting/css/head.css HTTP/1.1" 304 -
